municipality,barangay,year,season,seq_step,month,rain,temp,humid,ndvi,evi,ndwi,vv,vh,yield_mt_ha
City of Santa Rosa,Aplaya,2021,Wet,1,7,282.0,27.46,83.44,0.2407035380601883,0.15422280132770538,-0.14830410107970238,-3.311406295826387,-11.943357198259433,5.1
City of Santa Rosa,Aplaya,2021,Wet,2,8,182.8,27.33,83.78,0.28549177619543936,0.21472401824695145,-0.1610111547464674,-6.190448580110998,-11.243549717502935,5.1
City of Santa Rosa,Aplaya,2021,Wet,3,9,360.0,26.94,86.7,0.4234051286871478,0.3119538383235341,-0.4166153903761692,-3.4690055485879,-11.824381780502883,5.1
City of Santa Rosa,Aplaya,2021,Wet,4,10,204.0,26.89,84.03,0.3656790127051394,0.25279272523157176,-0.3832516251644547,-6.171518880910874,-11.329886443257156,5.1
City of Santa Rosa,Aplaya,2021,Wet,5,11,46.7,27.51,77.47,-0.1478605717420578,-0.2884119749069214,0.16537216305732727,-4.228754794705371,-12.729254233059297,5.1
City of Santa Rosa,Aplaya,2021,Wet,6,12,80.0,25.93,76.43,0.3749827486362586,0.26376643935065724,-0.38509561892238936,-6.310498665811431,-11.334267905485564,5.1
City of Santa Rosa,Balibago,2021,Dry,1,1,108.6,25.1,81.75,0.37058846490057656,0.2887903659813294,-0.3465625074632164,-3.9835483548834585,-12.230897845612857,5.208
City of Santa Rosa,Balibago,2021,Dry,2,2,91.9,25.17,80.92,0.38516742483169353,0.2716697391829184,-0.3794772826801731,-3.2258611461494735,-11.800127258508743,5.208
City of Santa Rosa,Balibago,2021,Dry,3,3,63.2,26.72,78.69,0.12011607736349106,0.3123483955860138,-0.12747757136821747,-4.402149005866016,-12.595943913642778,5.208
City of Santa Rosa,Balibago,2021,Dry,4,4,22.2,27.88,70.63,0.26662334263119297,0.24477936759933952,-0.280223788481629,-4.410170687460129,-12.583433018639562,5.208
City of Santa Rosa,Balibago,2021,Dry,5,5,79.8,28.81,75.02,0.2752623721497888,0.20191600209479954,-0.30121135996942444,-4.6048234727583965,-12.853442222303224,5.208
City of Santa Rosa,Balibago,2021,Dry,6,6,231.7,27.93,81.25,0.22388944721815068,0.30613420341998265,-0.1783085337944717,-4.161017059487214,-12.535423422323511,5.208
City of Santa Rosa,Balibago,2021,Wet,1,7,282.0,27.46,83.44,0.4083147590756416,0.45811106897890586,-0.33821215644478825,-3.2181499093055916,-11.708253521031324,4.5
City of Santa Rosa,Balibago,2021,Wet,2,8,182.8,27.33,83.78,0.412282156087193,0.4442555523953406,-0.35601974647399875,-5.3019114936485785,-11.165505916725985,4.5
City of Santa Rosa,Balibago,2021,Wet,3,9,360.0,26.94,86.7,0.3979728710036752,0.2917058653716703,-0.3854529841246005,-3.686849672625607,-12.028237950182548,4.5
City of Santa Rosa,Balibago,2021,Wet,4,10,204.0,26.89,84.03,0.4078924199458232,0.27771594093444185,-0.3984130656111671,-5.460058612906273,-11.21572690269068,4.5
City of Santa Rosa,Balibago,2021,Wet,5,11,46.7,27.51,77.47,0.02249684315174818,0.04675297569483519,-0.02144805724092293,-3.792163980638706,-12.214871196400122,4.5
City of Santa Rosa,Balibago,2021,Wet,6,12,80.0,25.93,76.43,0.3527286220613136,0.23950427059785673,-0.3528051765945571,-5.426865362848335,-11.095435942276211,4.5
City of Santa Rosa,Balibago,2022,Dry,1,1,33.1,25.92,72.65,0.15903330852205932,0.09280010133695145,-0.15837200028965107,-5.590599194292005,-11.192714100771207,5.0
City of Santa Rosa,Balibago,2022,Dry,2,2,21.8,26.26,74.93,0.3328334726474422,0.22764954305532423,-0.33687353500817296,-5.599170605583316,-11.233230152693903,5.0
City of Santa Rosa,Balibago,2022,Dry,3,3,24.7,27.74,72.74,0.32106815174138476,0.22241929069115443,-0.34015137544421964,-5.701110742206805,-11.367730369479045,5.0
City of Santa Rosa,Balibago,2022,Dry,4,4,59.5,27.63,74.3,0.3247984922750186,0.29219618727816027,-0.31649937978075443,-5.457498628487845,-11.271307580470163,5.0
City of Santa Rosa,Balibago,2022,Dry,5,5,215.1,28.03,78.5,0.36253908271635726,0.27380096555094857,-0.35586729364710806,-4.783409634959587,-10.744618789854522,5.0
City of Santa Rosa,Balibago,2022,Dry,6,6,265.8,27.65,81.8,,,,-4.7084356126706846,-10.775548116542677,5.0
City of Santa Rosa,Balibago,2022,Wet,1,7,299.2,27.04,86.57,0.38963255423777005,0.27331321262022207,-0.38114787129951655,-4.38590099777907,-10.478838298729421,4.8
City of Santa Rosa,Balibago,2022,Wet,2,8,369.6,26.56,87.31,0.35890135951435603,0.29490192270862425,-0.3355875206572535,-5.207008770201404,-11.009067011168298,4.8
City of Santa Rosa,Balibago,2022,Wet,3,9,274.8,26.65,86.0,0.4382545096771234,0.367278970089143,-0.41138221863523267,-4.397344448596024,-10.305006694526595,4.8
City of Santa Rosa,Balibago,2022,Wet,4,10,438.8,27.01,83.49,,,,-4.196215542832832,-10.163601443750352,4.8
City of Santa Rosa,Balibago,2022,Wet,5,11,77.0,26.83,83.37,0.32905285008381463,0.23443908540983968,-0.3142343680830646,-3.763506667738751,-10.011361286920975,4.8
City of Santa Rosa,Balibago,2022,Wet,6,12,120.2,25.75,81.53,0.3769562451484991,0.2606282495069991,-0.37190413225657826,-5.2367030524759555,-10.993339258798532,4.8
